,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
62,63,RACPO0,,222008757, ,Restaurante Abadia,Capacidade para 320 pessoas; Especialidades da Casa: Bacalhau na brasa;Tripas à abadia; Polvo grelhado; Javali com castanhas;,12080100001,12,0801,00001,1245628800000,rafaeldias,22,Aberto das 12:00 ás 23:00,-8.607818976999221,41.148023431206305
63,64,VBURA0,,222005004, ,Restaurante Alzira,Capacidade para 30 pessoas; Especialidades da Casa: Polvo assado no forno; Bacalhau assado no forno,13080100007,13,0801,00007,1245628800000,rafaeldias,3,Aberto das 12:00 ás 23:30 encerra à Segunda,-8.612432368343061,41.14073500753644
64,65,ABOAV0,,226172715, ,Restaurante Cufra,Capacidade para 250 pessoas; Especialidades da Casa: Feijoada de marisco; Bife à cufra,11080100002,11,0801,00002,1245628800000,rafaeldias,2504,Aberto das 12:00 ás 2:00 encerra á Segunda,-8.653003690771808,41.16204744574038
65,66,PDFLE0,,223398500, ,Restaurante D. Filipa,Capacidade para 100 pessoas; Especialidades da Casa: Cozinha portuguesa e internacional,15080100008,15,0801,00008,1245628800000,rafaeldias,62,Aberto das 12:30 ás 14:30 e das 19:30 ás 22:00,-8.613017687539214,41.14792682424301
66,67,RBONJ0,,222054139, ,Restaurante Milénio,Capacidade para 100 pessoas; Especialidades da Casa:Tripas à moda do Porto;  Bacalhau à Zé do pipo,12080100027,12,0801,00027,1245628800000,rafaeldias,532,Aberto  das 07:00 ás 20:00 encerra ao Domingo,-8.608501760194505,41.15103323684315
67,68,RBONJ0,,222000661, ,Restaurante Ginjal,Capacidade para 80 pessoas; Especialidades da Casa:Cabrito assado no forno; Bacalhau à moda de Braga; Polvo à lagareiro; Tripas à moda do Porto,12080100018,12,0801,00018,1245628800000,rafaeldias,726,Aberto  das 09:00 ás 16:00 e das 19:00 ás 23:00 encerra ao Domingo,-8.607955096447682,41.153327635216286
68,69,RCARM1,,223322611, ,Restaurante O Calhambeque,Capacidade para 50 pessoas; Especialidades da Casa: Pataniscas com arroz de feijão; Bacalhau à Zé do pipo; Arroz de tamboril; Filetes de polvo com arroz de grelos,15080100003,15,0801,00003,1245628800000,rafaeldias,19,Aberto  das 09:00 ás 22:00 encerra ao Domingo,-8.61714511013297,41.14715665251604
69,70,EMOLH0,,226173099, ,Restaurante Molhe,Capacidade para 140 pessoas; Especialidades da Casa: Bacalhau à molhe,09080100004,09,0801,00004,1245628800000,rafaeldias, ,Aberto das 9:00 ás 2:00,-8.684127519167877,41.15883375666443
70,71,RCRPE0,,226176659, ,Restaurante Varanda do Sol,Capacidade para 70 pessoas; Especialidades da Casa: Cozinha Italiana; Pizzaria; Pizzas,05080100009,05,0801,00009,1245628800000,rafaeldias,248,Aberto das 12:30 ás 15:30 e das 19:30 ás 23:30,-8.677603278786181,41.151756544370535
71,72,RAMIA0,,228325739, ,Restaurante China Town,Capacidade para 130 pessoas; Especialidades da Casa: Pato à Pequim; Gambas com alho,10080100002,10,0801,00002,1245628800000,rafaeldias,1006,Aberto das12:00 ás 15:00 e das 19:00 ás 23:00,-8.613573587543849,41.1817802222834
72,73,LDTFO0,,222053988, ,Restaurante Chinês King Long,Capacidade para 130 pessoas; Especialidades da Casa: Sopa tubarão; Pato lacado,12080100004,12,0801,00004,1245628800000,rafaeldias,115,Aberto das12:00 ás15:00 e das 19:30 ás 23:00,-8.608588245708201,41.15277463028087
73,74,PRIBE0,,222006418, ,Restaurante Downing Street,Capacidade para 200 pessoas; Especialidades da casa: Massa de bacalhau com grelos;Tamboril na Cataplana,13080100002,13,0801,00002,1245628800000,rafaeldias,10,Aberto por reserva até ás 23:00,-8.613376025976407,41.14086331330038
74,75,RCREA0,,226106142, ,Restaurante Casa Ribeiro III, ,05080100005,05,0801,00005,1245628800000,rafaeldias,5,Aberto das 08:00 ás 24:00 encerra ao Domingo,-8.674681879264215,41.15418533015781
75,76,RSBAN0,,222086707, ,Restaurante Pizza Hut,Especialidades da Casa: Pizzas,12080100011,12,0801,00011,1245628800000,rafaeldias,610, ,-8.606338502805112,41.15146860323732
76,77,LPRIO0,,222083228, ,Restaurante Pouca Pasta,Especialidades da Casa: Pizzas; Massas; Crepes; Gelados; Saladas,04080100012,04,0801,00012,1245628800000,rafaeldias,8, ,-8.621013330089689,41.156023369784066
77,78,RSLUZ1,,226189284, ,Restaurante O Tosco, ,05080100008,05,0801,00008,1245628800000,rafaeldias,258, ,-8.67672899295281,41.15133468205531
78,79,ABOAV0,,226101189, ,Restaurante da Fundação, ,01080100001,01,0801,00001,1245628800000,rafaeldias,4245, ,-8.673257551507733,41.16513282331602
